job,company_name,location,job_type,description,link,date
Data Analyst Risque de Crédit (H/F),Salafin,Casablanca,Permanent,"Maîtrise des outils bureautiques, et des environnements et langages de la data science : Python, R, hadoop, spark, etc.",https://ma.indeed.com/rc/clk?jk=f7f8f402fbfd165f&fccid=a7d7474be594e594&vjs=3,28/10/2023
Agile Master - Business Analyst- H/F/X,Société Générale,Casablanca,Permanent,"En s’appuyant sur une plateforme Python & Big data existante, l’équipe Checkpoint aide les analystes de risque à certifier leurs métriques en générant des…",https://ma.indeed.com/rc/clk?jk=144766dcf2c88682&fccid=df6948c9b8da6236&vjs=3,28/10/2023
Business Intelligence Analyst,Admiral,Casablanca,None,"Bac +5 en big data ou business intelligence analytic.-Vous rejoindrez une équipe dynamique et enthousiaste, expérimentée dans les principaux outils, méthodes et…",https://ma.indeed.com/rc/clk?jk=17f59d0fec378677&fccid=c08e3f14d662230d&vjs=3,28/10/2023
Business Analyst BI (Secteur Bancaire) - Casablanca,WELINK,Rabat,Freelance contract,Modélisation et enrichissement du modèle de données via l’outil de data préparation « Alteryx ».-Maitrise de l’activité data-driven sur l’ensemble du cycle de…,https://ma.indeed.com/rc/clk?jk=039d7ec9f266f4a5&fccid=9c9ceb831ef3d840&vjs=3,28/10/2023
Data scientist,None,Rabat,Permanent,Publiée le: 25 Oct-14:16.-Votre mission sera de générer des modèles d’inférence en Machine Learning et DeepLearning (principalement des réseau RNN/CNN) pour des…,https://ma.indeed.com/rc/clk?jk=c51b2eb49acff4a7&fccid=dd616958bd9ddc12&vjs=3,28/10/2023
Data Analyst / Product Owner (REF01),Trusted Advisors,Casablanca,None,"Nous sommes à la recherche d'un Data Analyst / Product Owner, pour le compte d'une banque internationale, basée à Casablanca.",https://ma.indeed.com/rc/clk?jk=0a778fbb872ca6e8&fccid=52c3f2e2cdde3448&vjs=3,28/10/2023
DATA ENGINEER (H/F),label vie,Casablanca,Permanent,Il travaille sur l’implémentation de pipelines optimisés et l’exposition des données répondant aux besoins des cas d’usages data ainsi que des applications.,https://ma.indeed.com/rc/clk?jk=642a0547cefbb4f1&fccid=b89b9e746240a0c4&vjs=3,28/10/2023
Financial Analyst,Pfizer,El Jadida,Full-time,"Strong analytical and numerical skills, preferably with a background in data analysis.-Location: EL Jadida Site – Morocco.",https://ma.indeed.com/rc/clk?jk=b4cb909a2e01ad2d&fccid=7ff126af0cd3d93b&vjs=3,28/10/2023
Quality Control Analyst (Incoming Materials),Pfizer,El Jadida,Full-time,"Apply and follow all data integrity principles and approaches.-Everything we do, every day, is in line with an unwavering commitment to the quality and the…",https://ma.indeed.com/rc/clk?jk=37d5c9f89ddc6074&fccid=7ff126af0cd3d93b&vjs=3,28/10/2023
Aide data analyst,Data Anlysis et Statistique,Marrakech,Permanent,"Entreprise d’étude de marché et analyses statistique recrute un(e) aide data analyst.-Formation Bac+2, Bac+3 en gestion des entreprises, bonne maitrise de la…",https://ma.indeed.com/rc/clk?jk=89a83208f9568270&fccid=804928545375caf2&vjs=3,28/10/2023
